#Videos: id, id_parent (main video id), id_artist (from Artist table), name, video type (main/alternate/duplicate/dance), youtube link ID, views, likes, publishedon, lastupdate, dead (y means it was removed from youtube)
2315,0,127,"Sheep","main","-qSzP9aReOA",16794816,609748,"2017-10-06","2018-11-14 06:56:01","n"
2316,0,208,"One More Time (jp)","main","HuoOEry-Yc4",68481749,628239,"2017-10-05","2018-11-15 09:07:07","n"
2317,0,54,"When you love someone","main","qWQ1xOfUNYQ",6324746,213608,"2017-09-28","2018-11-15 11:20:01","n"
2318,856,76,"Glass Bead","duplicate","GU7icQFVzHo",5908220,85437,"2017-11-02","2018-11-14 21:28:02","n"
2319,938,76,"Me Gustas Tu","duplicate","bjRMhQpOYAM",1226141,41495,"2017-11-02","2018-11-14 21:29:17","n"
2320,0,20,"Crazy Sexy Cool","main","xeUx0AN2kCA",12136869,488228,"2017-11-01","2018-11-15 11:21:05","n"
2321,0,110,"I Drink Alone","main","q0KcsfY_1tc",611809,19030,"2017-10-31","2018-11-15 10:35:15","n"
2322,0,208,"Likey","main","V2hlQkVJZhE",322015236,2479696,"2017-10-30","2018-11-15 04:22:02","n"
2323,0,19,"Orion","main","x3GKsWZYWyU",2658476,41818,"2017-10-27","2018-11-14 21:31:05","n"
2324,0,273,"Autumn Letter","main","zu2ZkI3mQCs",189972,6815,"2017-10-16","2018-11-15 10:36:02","n"
2325,0,273,"Alone People","main","H5Dz40SkyOo",187991,6334,"2017-10-16","2018-11-15 10:37:03","n"
2326,0,213,"Going Crazy","main","_b-jllwft_A",183461,13908,"2017-10-17","2018-11-15 11:22:01","n"
2327,0,274,"Fantasy","main","RGYIpwovVsc",13484411,399861,"2017-10-18","2018-11-15 11:23:01","n"
2328,2327,274,"Fantasy","alternate","djdU7DShIrA",721480,40299,"2017-10-24","2018-11-15 11:24:02","n"
2329,0,45,"I Like It","main","VJ2u7pIyV9I",7266635,142530,"2017-10-26","2018-11-14 21:32:02","n"
2330,0,275,"Sorry","main","uXcpLWB2eBA",8659480,327829,"2017-08-02","2018-11-15 11:25:04","n"
2331,0,275,"Like We Used To","main","K1FQeUXn_sc",2655248,137912,"2017-10-31","2018-11-15 11:26:01","n"
2332,0,177,"I knew it","main","X9VlCV1ZflQ",2341642,44013,"2017-11-06","2018-11-14 21:34:01","n"
2333,0,148,"Limitless (Japanese version)","main","mbsrf4OICR4",6734764,332084,"2017-11-04","2018-11-15 11:27:07","n"
2334,0,276,"Jelly","main","FJ8kJdTYj1o",7022649,260047,"2017-11-05","2018-11-15 10:38:02","n"
2335,0,189,"Black Suit","main","MvqB6JsRbsc",31631586,759001,"2017-11-06","2018-11-15 11:08:01","n"
2336,0,171,"Clap","main","CyzEtbG-sxY",47323556,892849,"2017-11-06","2018-11-15 14:47:21","n"
2337,0,54,"All Alone","main","Fd-elEnkInw",2702971,165716,"2017-11-05","2018-11-15 11:28:02","n"
2338,0,143,"Dramarama","main","r1afdZk0qcI",28440056,755790,"2017-11-07","2018-11-13 14:29:03","n"
2339,0,60,"DDD","main","axVvZrDz60k",32862995,588336,"2017-11-07","2018-11-13 12:22:07","n"
