#Artists: id, name, hangul/stylized name, members (female|male|coed), issolo (y|n), id_parentgroup (0 to none), formation date, disband date, social media accounts (semicolon separated list), followers (PHP serialize), followerstop (max followers ever registered)
117,"Kara","","female","n",0,"2007","2016","K=Kara_(South_Korean_band);T=kara_dsp;F=dspofficialkara","a:2:{s:1:"T";s:5:"84906";s:1:"F";d:826000;}",916722
118,"Kim HeeChul + WheeIn","","coed","n",0,"","","","",0
119,"Kim Sejeong","김세정","female","y",81,"","","K=Kim_Se-jeong","",0
120,"Kisum","조혜령","female","y",0,"","","K=Kisum;F=Kisumofficial;V=F82E1;VS=113","a:2:{s:2:"VS";i:99467;s:1:"F";d:157000;}",259587
121,"Kisum + Homme","","female","n",0,"","","","",0
122,"Kisum + Hwasa","","female","n",0,"","","","",0
123,"KYUHYUN","조규현","male","y",189,"","2017","K=Cho_Kyuhyun;W=kyuhyun.smtown.com/Intro;T=gaemgyu;I=gyuram88","a:2:{s:1:"T";s:7:"1768797";s:1:"I";s:6:"603760";}",2385537
124,"Kyung Park","박경","male","y",32,"2011","","K=Park_Kyung;T=kyungpark1992;I=qkrrud78","a:2:{s:1:"T";s:6:"592220";s:1:"I";s:6:"522858";}",1142262
125,"Laboum","라붐","female","n",0,"2014","","K=Laboum;F=officialLABOUM;T=officialLABOUM;W=cafe.daum.net/officialLABOUM;V=EF81F5;VS=251;I=officiallaboum","a:4:{s:2:"VS";i:63203;s:1:"T";s:5:"46978";s:1:"F";d:128000;s:1:"I";s:5:"54348";}",292529
126,"Ladies&#39; code","레이디스 코드","female","n",0,"2013","","K=Ladies%27_Code;F=polaris.lc;V=F60125;VS=147;T=polaris_lc;I=ladiescode_official","a:4:{s:2:"VS";i:111835;s:1:"T";s:5:"78724";s:1:"F";d:272000;s:1:"I";s:5:"44875";}",510382
127,"Lay","레이","male","y",61,"2012","","I=zyxzjs;K=Lay_(entertainer);T=zyxzjx","a:2:{s:1:"T";s:4:"2347";s:1:"I";s:7:"9230457";}",9232804
128,"Lee Hi","이하이","female","y",0,"2012","","K=Lee_Hi;F=OfficialLEEHI;Y=UCT86dWwZWeJWGQCDzbipU-A;V=F57137;VS=156;I=leehi_hi","a:4:{s:2:"VS";i:279618;s:1:"F";d:7000000;s:1:"Y";s:6:"731297";s:1:"I";s:7:"1713880";}",9724795
129,"Lee Hyori","이효리","female","y",0,"1998","","K=Lee_Hyori;I=hyoleehyolee","a:1:{s:1:"I";s:6:"598628";}",612006
130,"Lee Seung Gi","이승기","male","y",0,"2004","","K=Lee_Seung-gi;W=www.leeseunggi.com;I=leeseunggi.official","a:1:{s:1:"I";s:6:"705812";}",705812
131,"LeeSSang","리쌍","male","n",0,"2002","","K=Leessang;U=Leessang","",0
132,"Lim Chang Jung","임창정","male","y",0,"1995","","K=Im_Chang-jung;I=imchangjung3309","a:1:{s:1:"I";s:5:"67614";}",67614
133,"Lim Kim","김예림","female","y",0,"2011","2016","K=Lim_Kim;I=limkim12121;F=officiallimkim;T=limkim12121","a:3:{s:1:"T";s:4:"1069";s:1:"F";d:193000;s:1:"I";s:5:"25957";}",223689
134,"Lovelyz","러블리즈","female","n",0,"2014","","K=Lovelyz;I=official_lvlz8_;F=lvlz8;T=Official_LVLZ;V=FB183;VS=66;W=www.lvlz8.com","a:4:{s:2:"VS";i:582471;s:1:"T";s:6:"289077";s:1:"F";d:108000;s:1:"I";s:6:"216253";}",1195801
135,"Luna","박선영","female","y",65,"","","K=Luna_(singer);W=luna.smtown.com;T=listenluna;I=hermosavidaluna","a:2:{s:1:"T";s:5:"11437";s:1:"I";s:7:"1495902";}",1507339
136,"Lyn","린","female","y",0,"","","K=Lyn_(singer);I=lovelyn_i;Y=UCZAdaUPmqlFfS0i29X9UAoA;F=lovelyn.sejin","a:3:{s:1:"F";d:5510;s:1:"Y";s:4:"7430";s:1:"I";s:5:"62915";}",75855
137,"Mad Clown","조동림","male","y",0,"","","K=Mad_Clown;F=officialmadc;T=real_mad_clown","a:2:{s:1:"T";s:5:"88951";s:1:"F";d:373000;}",469463
138,"Mamamoo","마마무","female","n",0,"","","K=Mamamoo;F=RBW.MAMAMOO;W=cafe.daum.net/mamamoo;T=RBW_MAMAMOO;V=FCD4B;VS=38;I=mamamoo_official;Y=UCuhAUMLzJxlP1W7mEk0_6lA","a:5:{s:2:"VS";i:1427015;s:1:"T";s:6:"593979";s:1:"F";d:662000;s:1:"Y";s:7:"1015228";s:1:"I";s:6:"803254";}",4501476
139,"Max","최강창민","male","y",207,"","","K=Changmin;I=changmin88","a:1:{s:1:"I";s:7:"1120270";}",1120270
140,"MBLAQ","엠블랙","male","n",0,"2009","","K=MBLAQ;T=MBLAQ_CAMP;F=jtunecampofficial;U=jtunecamp","a:3:{s:1:"T";s:5:"23539";s:1:"F";d:39521;s:1:"Y";s:6:"220691";}",283751
